llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,0,0,118269661,0,0,0,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,1,1,118611554,1,128,0,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,2,1,118676283,1,128,0,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,3,1,118743693,1,128,0,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,4,1,118817828,1,128,0,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,5,1,118923722,2,127,1,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,6,1,118991753,2,127,1,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,7,1,119063998,2,127,1,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,8,1,119143649,2,127,1,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,9,1,119297113,3,127,1,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,10,1,119366172,3,126,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,11,1,119436652,3,126,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,12,1,119514025,3,126,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,13,1,119592106,4,126,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,14,1,119659279,4,125,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,15,1,119730802,4,125,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,16,1,119809238,4,125,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,17,1,119885473,5,125,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,18,1,119951835,5,124,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,19,1,120021196,5,124,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,20,1,120096634,5,124,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,21,1,120174254,6,124,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,22,1,120240985,6,123,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,23,1,120311038,6,123,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,24,1,120386857,6,123,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,25,1,120486422,7,123,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,26,1,120551397,7,122,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,27,1,120619671,7,122,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,28,1,120692086,7,122,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,29,1,120770288,8,122,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,30,1,120836707,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,31,1,120906461,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,32,1,120980723,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,33,1,121060356,8,113,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,34,1,121104668,8,0,8,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,35,1,121181762,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,36,1,121248977,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,37,1,121319950,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,38,1,121398162,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,39,1,121481024,8,122,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,40,1,121548430,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,41,1,121619414,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,42,1,121695648,8,121,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,43,1,121762987,7,57,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,44,1,121806970,7,0,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,45,1,121850911,7,0,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,46,1,121894654,7,0,7,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,47,1,122002393,6,0,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,48,1,122045383,6,0,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,49,1,122088081,6,0,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,50,1,122130676,6,0,6,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,51,1,122180283,5,0,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,52,1,122224223,5,0,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,53,1,122267167,5,0,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,54,1,122309826,5,0,5,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,55,1,122357193,4,0,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,56,1,122399693,4,0,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,57,1,122442138,4,0,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,58,1,122484491,4,0,4,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,59,1,122530910,3,0,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,60,1,122573073,3,0,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,61,1,122615189,3,0,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,62,1,122657072,3,0,3,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,63,1,122702213,2,0,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,64,1,122743550,2,0,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,65,1,122784919,2,0,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,66,1,122826591,2,0,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,67,1,122868637,2,0,2,0,0,0
meta-llama/llama-3.1-70b,sharegpt,4,8,128,0,10,68,1,122910309,2,0,2,0,0,0
