llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,0,0,328128622,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,1,1,328638739,1,512,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,2,1,328854400,2,511,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,3,1,329138150,3,511,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,4,1,329304275,4,510,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,5,1,329521908,5,509,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,6,1,329695224,6,508,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,7,1,329862570,7,507,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,8,1,330028488,8,506,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,9,1,330153204,8,29,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,10,1,330214826,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,11,1,330277119,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,12,1,330340532,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,13,1,330422887,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,14,1,330505330,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,15,1,330571718,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,16,1,330637493,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,17,1,330699829,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,512,0,10,18,1,330761768,8,0,8,0,0,0
