llm_model_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,4,8,256,0,10,0,0,115613955,0,0,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,1,1,116054144,1,256,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,2,1,116158538,1,256,0,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,3,1,116334813,2,255,1,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,4,1,116442378,2,255,1,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,5,1,116701083,3,255,1,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,6,1,116807922,3,254,2,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,7,1,116914245,4,254,2,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,8,1,117020130,4,253,3,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,9,1,117124147,5,253,3,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,10,1,117228750,5,252,4,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,11,1,117333719,6,252,4,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,12,1,117438947,6,251,5,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,13,1,117541317,7,251,5,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,14,1,117645379,7,250,6,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,15,1,117749901,8,250,6,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,16,1,117853872,8,249,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,17,1,117974330,8,57,7,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,18,1,118037398,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,19,1,118097849,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,20,1,118158629,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,21,1,118221377,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,22,1,118280751,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,23,1,118340276,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,24,1,118402030,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,25,1,118461667,8,0,8,0,0,0
meta-llama/llama-3.1-70b,4,8,256,0,10,26,1,118524257,8,0,8,0,0,0
