llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,request_guid,is_warmup_request,timestamp,decoding_step_idx
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,908168,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,908180,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,908184,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,908187,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000004,1,908191,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000005,1,908195,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000006,1,908198,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000007,1,908202,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000008,1,908223,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000009,1,908243,-2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,56051517,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,56673075,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,56777741,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,56845044,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,56916892,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,56996652,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,56996710,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57148788,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57148789,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57217449,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57217450,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57287197,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57287197,2
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57364030,7
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57364030,3
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000003,1,57364045,-1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57441752,8
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57441752,4
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57441752,0
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57508681,9
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57508681,5
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57508681,1
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000000,1,57579526,10
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000001,1,57579583,6
meta-llama/llama-3.1-70b,peft_throughput,4,8,128,0,10,1000002,1,57579583,2
