llm_model_name,dataset_name,tensor_parallelism_degree,max_requests_per_batch,max_tokens_per_batch,arrival_rate,num_warmup_requests,step_idx,is_warmup_step,timestamp,num_inference_requests,num_prefilling_tokens,num_decoding_tokens,num_finetuning_fwd_tokens,num_finetuning_bwd_tokens,num_bwd_layers
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,0,0,57919214,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,1,1,58278608,1,128,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,2,1,58343019,1,128,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,3,1,58409697,1,128,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,4,1,58483726,1,128,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,5,1,58588771,2,127,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,6,1,58656406,2,127,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,7,1,58728440,2,127,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,8,1,58808089,2,127,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,9,1,58965310,3,127,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,10,1,59034561,3,126,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,11,1,59104399,3,126,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,12,1,59181665,3,126,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,13,1,59259521,4,126,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,14,1,59326778,4,125,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,15,1,59397465,4,125,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,16,1,59475742,4,125,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,17,1,59551995,5,125,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,18,1,59617964,5,124,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,19,1,59687646,5,124,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,20,1,59762889,5,124,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,21,1,59840261,6,124,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,22,1,59906883,6,123,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,23,1,59976796,6,123,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,24,1,60052931,6,123,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,25,1,60152058,7,123,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,26,1,60217343,7,122,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,27,1,60285315,7,122,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,28,1,60358199,7,122,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,29,1,60435896,8,122,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,30,1,60501776,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,31,1,60570719,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,32,1,60644148,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,33,1,60723050,8,113,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,34,1,60769608,8,0,8,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,35,1,60844503,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,36,1,60911537,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,37,1,60982204,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,38,1,61060324,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,39,1,61138942,8,122,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,40,1,61206365,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,41,1,61276836,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,42,1,61353357,8,121,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,43,1,61419898,7,57,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,44,1,61466644,7,0,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,45,1,61512937,7,0,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,46,1,61559544,7,0,7,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,47,1,61608906,6,0,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,48,1,61655326,6,0,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,49,1,61701799,6,0,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,50,1,61748237,6,0,6,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,51,1,61796857,5,0,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,52,1,61843414,5,0,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,53,1,61890237,5,0,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,54,1,61936518,5,0,5,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,55,1,61987041,4,0,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,56,1,62033625,4,0,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,57,1,62080043,4,0,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,58,1,62126369,4,0,4,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,59,1,62175429,3,0,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,60,1,62222065,3,0,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,61,1,62268921,3,0,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,62,1,62318093,3,0,3,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,63,1,62367414,2,0,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,64,1,62414445,2,0,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,65,1,62461154,2,0,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,66,1,62508527,2,0,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,67,1,62555454,2,0,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,68,1,62602611,2,0,2,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,69,1,62652163,1,0,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,70,1,62699163,1,0,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,71,1,62746615,1,0,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,72,1,62793428,1,0,1,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,73,0,62796767,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,74,0,62797449,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,75,0,62809227,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,76,0,62821883,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,77,0,62833637,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,78,0,62845768,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,79,0,62849971,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,80,0,62875530,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,81,0,62879567,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,82,0,62883094,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,83,0,62905623,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,84,0,62909620,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,85,0,62913528,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,86,0,62927001,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,87,0,62931703,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,88,0,62942485,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,89,0,62958815,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,90,0,62962415,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,91,0,62973161,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,92,0,63003236,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,93,0,63006951,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,94,0,63010711,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,95,0,63016567,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,96,0,63027622,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,97,0,63038157,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,98,0,63051384,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,99,0,63055548,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,100,0,63065486,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,101,0,63080962,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,102,0,63091970,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,103,0,63099406,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,104,0,63108091,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,105,0,63118297,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,106,0,63139514,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,107,0,63158166,0,0,0,0,0,0
meta-llama/llama-3.1-70b,wildchat,4,8,128,0.2,10,108,0,63161598,0,0,0,0,0,0
